                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4797,                 3.4963,                 3.8274,                 5.2827,                 4.7536,                 3.8306,                      0,                      0,                      0,                      0,                 5.7275,                 3.5407,                 3.5455,                  6.139,                 5.9084,                 3.7051,             0.00066097,             0.00066097,             0.00066097
                      2,                 3.6479,                 2.0768,                 2.6483,                 3.4287,                 2.4379,                 2.4635,                0.29281,                0.34605,                0.22968,                0.06363,                 2.9874,                 1.8363,                 2.2275,                 2.7811,                 2.3968,                  2.152,              0.0013145,              0.0013145,              0.0013145
                      3,                 3.0311,                 1.6806,                 2.1409,                 2.8607,                 2.0655,                 1.9418,                0.30983,                 0.3739,                0.25544,                0.07744,                 2.7835,                 1.8565,                 1.9986,                 2.5477,                 2.4755,                 1.8597,              0.0019548,              0.0019548,              0.0019548
                      4,                 2.8522,                 1.5891,                 1.9061,                 2.7146,                 1.9971,                 1.7311,                0.35602,                0.40545,                 0.2984,                0.09668,                 2.5696,                 1.5192,                 1.8151,                 2.4345,                 2.1125,                 1.7165,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.7324,                 1.5484,                 1.8149,                 2.6238,                 1.9737,                 1.6542,                0.41036,                0.39997,                0.35486,                0.12127,                 2.5272,                  1.532,                 1.7937,                 2.4161,                 2.0376,                 1.6607,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.5769,                 1.4842,                 1.7446,                 2.4685,                 1.9535,                 1.6028,                0.42201,                0.42314,                0.37981,                0.14268,                   2.37,                   1.42,                 1.6864,                 2.2306,                 1.9348,                 1.5609,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4878,                 1.4397,                 1.6804,                 2.4316,                 1.9089,                  1.534,                 0.4686,                0.43622,                0.42504,                0.18143,                 2.2545,                 1.3144,                 1.6098,                 2.1421,                 1.9017,                 1.5058,               0.001901,               0.001901,               0.001901
                      8,                 2.4086,                 1.4237,                 1.6182,                 2.3694,                 1.8896,                 1.4842,                0.48825,                0.42206,                0.43258,                0.16742,                 2.4241,                  1.386,                 1.6734,                 2.2014,                 1.9319,                 1.5238,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.4329,                 1.4223,                 1.6006,                 2.3851,                  1.861,                 1.4686,                0.52696,                0.47085,                0.48711,                0.20941,                 2.1562,                 1.3116,                 1.5508,                 2.0698,                 1.8208,                 1.4434,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3055,                 1.3807,                 1.5431,                 2.2671,                 1.8416,                 1.4158,                0.52226,                0.45515,                0.47607,                0.21094,                 2.1572,                 1.3354,                 1.5151,                   2.06,                 1.8363,                 1.4337,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.2763,                 1.3513,                 1.5268,                  2.268,                 1.8165,                 1.4163,                0.53863,                0.46688,                0.48567,                0.21123,                 2.2175,                 1.2975,                 1.5777,                 2.0837,                 1.8214,                 1.4503,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2107,                 1.3082,                 1.5149,                 2.1897,                 1.7493,                 1.4021,                 0.5493,                0.47977,                0.50633,                0.22887,                 2.0677,                 1.2973,                 1.5018,                 1.9955,                 1.8145,                 1.3984,               0.001802,               0.001802,               0.001802
                     13,                 2.1679,                 1.2772,                 1.4612,                 2.1864,                 1.7118,                 1.3617,                0.59165,                  0.519,                0.55204,                0.25789,                 2.0299,                 1.2086,                 1.4563,                 1.9664,                 1.6883,                 1.3791,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1593,                 1.2977,                 1.4811,                 2.1793,                 1.7227,                 1.3809,                0.59639,                  0.527,                0.56752,                0.26697,                 1.9973,                 1.2033,                 1.4407,                 1.9654,                 1.6349,                 1.3736,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.1346,                 1.2704,                 1.4639,                 2.1436,                 1.6932,                 1.3641,                0.58668,                0.53577,                0.57566,                0.27287,                 1.9408,                 1.1796,                 1.4199,                 1.9081,                 1.6111,                 1.3442,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0708,                 1.2336,                 1.4294,                 2.1043,                 1.6529,                 1.3392,                0.61998,                0.56301,                0.60203,                0.28247,                 1.9398,                  1.182,                 1.4098,                 1.9195,                 1.6147,                 1.3522,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0566,                  1.233,                 1.4289,                 2.1033,                 1.6485,                 1.3429,                 0.6041,                0.55293,                 0.5999,                0.28617,                 1.9417,                 1.1523,                 1.3966,                 1.9102,                 1.6093,                 1.3348,               0.001703,               0.001703,               0.001703
                     18,                 2.0209,                 1.1842,                 1.3886,                 2.0672,                 1.5946,                 1.3021,                0.61309,                0.56732,                0.60796,                0.28952,                 1.9424,                 1.1264,                 1.3981,                 1.8898,                 1.5441,                  1.325,              0.0016832,              0.0016832,              0.0016832
