epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93546,2.04605,2.50649,1.28989,0.73947,0.59809,0.6657,0.3227,1.88638,1.59627,1.20457,0.000660969,0.000660969,0.000660969
2,16.0465,1.87183,1.32862,1.19392,0.7311,0.64241,0.72133,0.35932,1.75474,1.38938,1.1826,0.00131449,0.00131449,0.00131449
3,21.9095,1.78175,1.15753,1.16891,0.70453,0.64464,0.70377,0.35534,1.70846,1.20193,1.16132,0.00195481,0.00195481,0.00195481
4,27.6659,1.77557,1.14318,1.15456,0.74575,0.66933,0.73823,0.38199,1.68904,1.0729,1.15191,0.0019406,0.0019406,0.0019406
5,33.4711,1.76319,1.13905,1.15589,0.7344,0.67437,0.7351,0.37118,1.71212,1.08727,1.18648,0.0019208,0.0019208,0.0019208
6,39.3269,1.73013,1.09234,1.16324,0.75026,0.66179,0.75328,0.39435,1.67934,1.17199,1.14246,0.001901,0.001901,0.001901
7,45.1204,1.74815,1.09369,1.15544,0.77813,0.68587,0.77223,0.40961,1.66631,1.0355,1.14769,0.0018812,0.0018812,0.0018812
8,50.9027,1.70262,1.0692,1.14796,0.77547,0.67995,0.77027,0.39787,1.71493,1.01244,1.16944,0.0018614,0.0018614,0.0018614
9,56.6862,1.71167,1.05523,1.14863,0.768,0.70799,0.78743,0.43172,1.57324,0.99576,1.12257,0.0018416,0.0018416,0.0018416
10,62.4476,1.65833,1.0381,1.12463,0.79698,0.68334,0.78326,0.42861,1.60859,0.97699,1.12792,0.0018218,0.0018218,0.0018218
11,68.1932,1.68285,1.02259,1.13473,0.78797,0.70272,0.79176,0.43206,1.58194,0.9714,1.13129,0.001802,0.001802,0.001802
12,74.002,1.65195,0.98148,1.13825,0.77021,0.67934,0.76308,0.41149,1.65186,0.9993,1.15504,0.0017822,0.0017822,0.0017822
13,79.6924,1.6775,1.03622,1.13179,0.78116,0.7096,0.79806,0.43893,1.58081,0.95037,1.12454,0.0017624,0.0017624,0.0017624
14,85.4419,1.67858,1.02131,1.14019,0.77536,0.69395,0.77822,0.42503,1.60899,0.97154,1.13293,0.0017426,0.0017426,0.0017426
15,91.2023,1.64912,0.99335,1.13686,0.7832,0.7098,0.78982,0.4331,1.6303,0.98708,1.14911,0.0017228,0.0017228,0.0017228
16,96.9138,1.63787,0.96811,1.12743,0.78853,0.70744,0.79599,0.43859,1.59735,0.94325,1.12569,0.001703,0.001703,0.001703
17,102.642,1.63514,0.96839,1.12765,0.7847,0.73074,0.81091,0.44389,1.59465,0.92625,1.1245,0.0016832,0.0016832,0.0016832
18,108.426,1.65691,0.97669,1.12663,0.802,0.72811,0.80746,0.43931,1.58446,0.92439,1.12392,0.0016634,0.0016634,0.0016634
19,114.143,1.62824,0.94971,1.11394,0.79954,0.72057,0.80537,0.44568,1.58311,0.91384,1.12322,0.0016436,0.0016436,0.0016436
20,119.857,1.64526,0.95673,1.12698,0.79697,0.7078,0.80626,0.44929,1.55789,0.9396,1.11481,0.0016238,0.0016238,0.0016238
21,125.563,1.64292,0.9602,1.1262,0.80252,0.72042,0.81586,0.45185,1.56967,0.92646,1.10098,0.001604,0.001604,0.001604
22,131.23,1.64051,0.93341,1.11182,0.80533,0.71547,0.80612,0.44701,1.59253,0.94449,1.12129,0.0015842,0.0015842,0.0015842
23,136.908,1.62384,0.93385,1.11985,0.78389,0.72657,0.80135,0.43757,1.59474,0.91106,1.12611,0.0015644,0.0015644,0.0015644
24,142.568,1.6104,0.92012,1.104,0.80428,0.7315,0.81636,0.4602,1.56526,0.8918,1.1115,0.0015446,0.0015446,0.0015446
25,148.264,1.62373,0.92209,1.11766,0.80191,0.72827,0.81196,0.45327,1.55575,0.90479,1.11271,0.0015248,0.0015248,0.0015248
26,153.961,1.61117,0.91529,1.09816,0.80396,0.73581,0.81981,0.46187,1.54896,0.91601,1.1034,0.001505,0.001505,0.001505
27,159.675,1.61234,0.90956,1.10993,0.78848,0.71565,0.7998,0.44475,1.59621,0.93177,1.12215,0.0014852,0.0014852,0.0014852
28,165.4,1.58783,0.89945,1.10571,0.80004,0.73227,0.8159,0.45654,1.56045,0.90271,1.1041,0.0014654,0.0014654,0.0014654
29,171.062,1.62733,0.923,1.11893,0.7934,0.72029,0.80162,0.45251,1.54579,0.92973,1.11191,0.0014456,0.0014456,0.0014456
30,176.693,1.60086,0.91024,1.09826,0.80083,0.71892,0.81023,0.44491,1.59351,0.89046,1.12128,0.0014258,0.0014258,0.0014258
31,182.374,1.59947,0.91208,1.11474,0.79409,0.72226,0.80219,0.44581,1.59853,0.91148,1.12979,0.001406,0.001406,0.001406
32,188.02,1.61667,0.89365,1.10339,0.81548,0.74273,0.83033,0.46827,1.54355,0.87123,1.10401,0.0013862,0.0013862,0.0013862
33,193.743,1.59826,0.89208,1.09814,0.79918,0.72165,0.80867,0.45585,1.54212,0.88708,1.10742,0.0013664,0.0013664,0.0013664
34,199.411,1.59699,0.88942,1.11483,0.81164,0.73427,0.82469,0.46992,1.53466,0.86908,1.10047,0.0013466,0.0013466,0.0013466
35,205.103,1.59496,0.87995,1.10599,0.82386,0.73408,0.83131,0.47211,1.54545,0.86316,1.10174,0.0013268,0.0013268,0.0013268
36,210.793,1.57609,0.86702,1.09418,0.80656,0.75119,0.8293,0.46312,1.568,0.88972,1.10398,0.001307,0.001307,0.001307
37,216.509,1.59621,0.88811,1.10639,0.80847,0.73011,0.82042,0.46422,1.54936,0.91693,1.10988,0.0012872,0.0012872,0.0012872
38,222.168,1.58852,0.90466,1.09799,0.80008,0.74203,0.82027,0.45655,1.58071,0.89464,1.11167,0.0012674,0.0012674,0.0012674
39,227.835,1.59981,0.88684,1.10253,0.80405,0.7406,0.81769,0.45269,1.57827,0.87036,1.11947,0.0012476,0.0012476,0.0012476
40,233.507,1.59185,0.88902,1.10475,0.80821,0.74437,0.83056,0.45786,1.58054,0.8824,1.11319,0.0012278,0.0012278,0.0012278
41,239.206,1.58102,0.89462,1.09687,0.81077,0.74496,0.83217,0.46941,1.56054,0.87579,1.10488,0.001208,0.001208,0.001208
42,244.909,1.58499,0.86718,1.08538,0.80422,0.73951,0.8265,0.47095,1.54522,0.86246,1.10173,0.0011882,0.0011882,0.0011882
43,250.578,1.55867,0.8635,1.09679,0.81133,0.73382,0.81972,0.45936,1.56455,0.87087,1.1127,0.0011684,0.0011684,0.0011684
44,256.251,1.55771,0.86232,1.09374,0.81943,0.74367,0.82144,0.46995,1.55239,0.86236,1.11195,0.0011486,0.0011486,0.0011486
45,261.943,1.56103,0.85924,1.08591,0.81513,0.7455,0.82581,0.47021,1.53965,0.85323,1.10228,0.0011288,0.0011288,0.0011288
46,267.619,1.57385,0.87096,1.10378,0.81979,0.72584,0.82163,0.46642,1.55,0.87115,1.10946,0.001109,0.001109,0.001109
47,273.289,1.55926,0.85525,1.09577,0.81808,0.74246,0.8261,0.46734,1.56393,0.86939,1.10838,0.0010892,0.0010892,0.0010892
48,278.919,1.56573,0.87125,1.09359,0.81121,0.74688,0.83314,0.46944,1.55773,0.87275,1.10404,0.0010694,0.0010694,0.0010694
49,284.582,1.59749,0.86798,1.0993,0.79801,0.75258,0.82925,0.46832,1.5554,0.8778,1.09968,0.0010496,0.0010496,0.0010496
50,290.278,1.56994,0.86531,1.09567,0.81355,0.74255,0.82074,0.46444,1.56405,0.8656,1.10918,0.0010298,0.0010298,0.0010298
51,295.935,1.55695,0.8647,1.10114,0.8347,0.74513,0.83683,0.4753,1.5437,0.83815,1.1067,0.00101,0.00101,0.00101
52,301.618,1.55172,0.84076,1.07802,0.82325,0.76039,0.84568,0.48188,1.53962,0.84692,1.09395,0.0009902,0.0009902,0.0009902
53,307.325,1.56103,0.84595,1.08547,0.81904,0.75766,0.83638,0.47739,1.53974,0.86629,1.10221,0.0009704,0.0009704,0.0009704
54,312.984,1.56222,0.85239,1.09552,0.81565,0.74412,0.83075,0.47321,1.53775,0.86458,1.10311,0.0009506,0.0009506,0.0009506
55,318.616,1.53214,0.83438,1.08184,0.81396,0.75904,0.84077,0.48133,1.52933,0.85021,1.09476,0.0009308,0.0009308,0.0009308
56,324.281,1.53275,0.83168,1.08609,0.82419,0.75815,0.83882,0.47642,1.53937,0.85858,1.09988,0.000911,0.000911,0.000911
57,329.961,1.54331,0.83846,1.09876,0.82595,0.73781,0.8324,0.47516,1.5486,0.84761,1.10715,0.0008912,0.0008912,0.0008912
58,335.609,1.57038,0.85083,1.09152,0.81754,0.75519,0.84055,0.48336,1.5197,0.84372,1.09384,0.0008714,0.0008714,0.0008714
59,341.278,1.51791,0.82832,1.07381,0.82085,0.75258,0.83443,0.48089,1.5384,0.82361,1.10827,0.0008516,0.0008516,0.0008516
60,346.945,1.56019,0.83996,1.09246,0.8266,0.74411,0.83245,0.47565,1.54781,0.84004,1.10318,0.0008318,0.0008318,0.0008318
61,352.6,1.52515,0.82644,1.07508,0.82866,0.74935,0.83549,0.47656,1.52339,0.8327,1.10148,0.000812,0.000812,0.000812
62,358.219,1.55028,0.83614,1.09205,0.8253,0.76104,0.8429,0.48189,1.53413,0.8351,1.09903,0.0007922,0.0007922,0.0007922
63,363.88,1.53738,0.83163,1.09177,0.81681,0.75088,0.83499,0.48031,1.53337,0.8441,1.09603,0.0007724,0.0007724,0.0007724
64,369.519,1.52905,0.81759,1.07695,0.81636,0.75311,0.83947,0.47734,1.55432,0.83638,1.09989,0.0007526,0.0007526,0.0007526
65,375.171,1.53821,0.83108,1.08029,0.81143,0.75735,0.83179,0.46631,1.57898,0.84284,1.11816,0.0007328,0.0007328,0.0007328
66,380.826,1.54192,0.83844,1.08389,0.81187,0.75058,0.82676,0.46755,1.56514,0.84054,1.1125,0.000713,0.000713,0.000713
67,386.453,1.53036,0.8153,1.07867,0.82627,0.75231,0.84264,0.48494,1.54236,0.82525,1.09677,0.0006932,0.0006932,0.0006932
68,392.123,1.53828,0.82097,1.08119,0.815,0.75781,0.84165,0.48121,1.53698,0.84884,1.09687,0.0006734,0.0006734,0.0006734
69,397.798,1.54531,0.82953,1.07542,0.82002,0.75719,0.83482,0.47734,1.54731,0.83882,1.10401,0.0006536,0.0006536,0.0006536
70,403.443,1.52408,0.81758,1.07083,0.81289,0.74904,0.82906,0.46876,1.5785,0.84266,1.11208,0.0006338,0.0006338,0.0006338
71,409.072,1.52745,0.80982,1.07177,0.81806,0.76723,0.84084,0.48309,1.54044,0.82619,1.0967,0.000614,0.000614,0.000614
72,414.7,1.53038,0.81255,1.07942,0.82275,0.76535,0.84484,0.4829,1.54167,0.82487,1.09794,0.0005942,0.0005942,0.0005942
73,420.332,1.53571,0.8155,1.06766,0.82637,0.75919,0.84377,0.48203,1.54645,0.8274,1.09722,0.0005744,0.0005744,0.0005744
74,425.972,1.52025,0.80867,1.07682,0.82225,0.75448,0.84016,0.48375,1.54671,0.82273,1.10137,0.0005546,0.0005546,0.0005546
75,431.584,1.50637,0.81441,1.07489,0.8103,0.76273,0.84101,0.48632,1.52767,0.82731,1.09764,0.0005348,0.0005348,0.0005348
76,437.266,1.52821,0.81168,1.0759,0.82135,0.77109,0.84974,0.48913,1.5252,0.82587,1.08963,0.000515,0.000515,0.000515
77,442.903,1.51379,0.80981,1.0782,0.82032,0.77058,0.84689,0.48155,1.54549,0.82827,1.0971,0.0004952,0.0004952,0.0004952
78,448.536,1.48746,0.78325,1.05924,0.82309,0.76658,0.84896,0.48993,1.52511,0.81144,1.09507,0.0004754,0.0004754,0.0004754
79,454.257,1.54647,0.81179,1.06753,0.81798,0.76443,0.84242,0.48582,1.52469,0.82259,1.09297,0.0004556,0.0004556,0.0004556
80,459.881,1.51269,0.8031,1.07784,0.82472,0.76164,0.84227,0.4851,1.53664,0.81689,1.09966,0.0004358,0.0004358,0.0004358
81,465.524,1.50995,0.79477,1.06381,0.8177,0.76058,0.83834,0.48215,1.53304,0.82811,1.09689,0.000416,0.000416,0.000416
82,471.147,1.51586,0.80324,1.07651,0.82023,0.77258,0.84621,0.48841,1.52297,0.8161,1.09314,0.0003962,0.0003962,0.0003962
