epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.907,1.99532,2.45229,1.26037,0.7229,0.64347,0.69651,0.32339,1.93606,1.51489,1.22373,0.000660969,0.000660969,0.000660969
2,22.1305,1.85244,1.29648,1.19685,0.71476,0.66764,0.71526,0.34525,1.78361,1.73053,1.23513,0.00131449,0.00131449,0.00131449
3,30.3121,1.82734,1.16433,1.18852,0.6333,0.60409,0.62575,0.29493,1.80147,1.2391,1.1881,0.00195481,0.00195481,0.00195481
4,38.4274,1.78978,1.14383,1.16216,0.74863,0.68457,0.75239,0.39561,1.69158,1.08064,1.16011,0.0019406,0.0019406,0.0019406
5,46.4387,1.76037,1.11465,1.1622,0.73677,0.6801,0.74046,0.38282,1.69141,1.09295,1.17749,0.0019208,0.0019208,0.0019208
6,54.299,1.72954,1.09323,1.16534,0.74653,0.68857,0.75475,0.39166,1.71297,1.07201,1.19282,0.001901,0.001901,0.001901
7,62.4028,1.7785,1.08818,1.17363,0.77143,0.68447,0.76757,0.39516,1.72831,1.04143,1.17934,0.0018812,0.0018812,0.0018812
8,70.1848,1.74199,1.08249,1.16592,0.74475,0.67927,0.75939,0.40365,1.68614,1.04235,1.15502,0.0018614,0.0018614,0.0018614
9,78.0025,1.71084,1.05414,1.15429,0.75053,0.67826,0.74734,0.38594,1.72035,1.06743,1.18952,0.0018416,0.0018416,0.0018416
10,85.7698,1.69891,1.04098,1.13927,0.76866,0.68703,0.78066,0.40807,1.68912,1.01197,1.15985,0.0018218,0.0018218,0.0018218
11,93.5137,1.70532,1.02599,1.14725,0.77786,0.69611,0.77677,0.41284,1.66431,0.98738,1.16588,0.001802,0.001802,0.001802
12,101.281,1.66747,0.97716,1.1481,0.76976,0.68727,0.76138,0.40835,1.65787,0.97744,1.16949,0.0017822,0.0017822,0.0017822
13,108.972,1.68236,1.03341,1.13276,0.7916,0.71012,0.79824,0.43824,1.6222,0.92555,1.14264,0.0017624,0.0017624,0.0017624
14,116.767,1.67899,1.01798,1.14175,0.79196,0.70472,0.79495,0.43298,1.61241,0.96365,1.13805,0.0017426,0.0017426,0.0017426
15,124.583,1.64984,0.98686,1.14259,0.80171,0.71979,0.80219,0.43737,1.62549,0.94362,1.16611,0.0017228,0.0017228,0.0017228
16,132.541,1.6587,0.95748,1.14337,0.80654,0.71463,0.80307,0.42721,1.64522,0.94866,1.15164,0.001703,0.001703,0.001703
17,140.352,1.69231,0.98063,1.15056,0.77716,0.69842,0.78796,0.40015,1.72959,1.00482,1.17124,0.0016832,0.0016832,0.0016832
18,148.12,1.66919,0.96029,1.13422,0.78047,0.7118,0.79693,0.42416,1.66261,0.9584,1.15607,0.0016634,0.0016634,0.0016634
19,155.938,1.64598,0.93089,1.12674,0.76358,0.70766,0.7732,0.41231,1.69082,0.96925,1.18813,0.0016436,0.0016436,0.0016436
20,163.655,1.63821,0.94717,1.12682,0.81839,0.73042,0.81866,0.45097,1.59661,0.90032,1.12816,0.0016238,0.0016238,0.0016238
21,171.403,1.64927,0.9488,1.13142,0.80106,0.70411,0.80064,0.4415,1.59469,0.94597,1.13638,0.001604,0.001604,0.001604
22,179.135,1.64349,0.91743,1.11842,0.80559,0.72657,0.81292,0.44799,1.59702,0.93133,1.13639,0.0015842,0.0015842,0.0015842
23,186.832,1.62924,0.92488,1.12287,0.79641,0.72196,0.80293,0.43952,1.61455,0.9171,1.15176,0.0015644,0.0015644,0.0015644
24,194.535,1.62142,0.91569,1.11667,0.80696,0.71749,0.80912,0.45296,1.60144,0.91197,1.13596,0.0015446,0.0015446,0.0015446
25,202.282,1.61984,0.90382,1.11652,0.81365,0.74773,0.82437,0.45683,1.58557,0.88053,1.13122,0.0015248,0.0015248,0.0015248
26,209.986,1.61483,0.90118,1.1033,0.81192,0.73888,0.82409,0.46016,1.55793,0.88807,1.12202,0.001505,0.001505,0.001505
27,217.704,1.60668,0.88838,1.11518,0.80423,0.73326,0.81375,0.45137,1.57976,0.88891,1.1336,0.0014852,0.0014852,0.0014852
28,225.462,1.59634,0.88877,1.11519,0.80313,0.72719,0.82063,0.45202,1.60216,0.91606,1.13133,0.0014654,0.0014654,0.0014654
29,233.153,1.63604,0.91028,1.12788,0.80401,0.72196,0.81618,0.44431,1.60709,0.92581,1.12548,0.0014456,0.0014456,0.0014456
30,240.86,1.60635,0.89704,1.10287,0.79876,0.7329,0.81748,0.45318,1.57392,0.88482,1.13016,0.0014258,0.0014258,0.0014258
31,248.604,1.59649,0.90021,1.12098,0.80721,0.72842,0.80788,0.45535,1.57827,0.90652,1.13925,0.001406,0.001406,0.001406
32,256.332,1.60016,0.88685,1.10148,0.80882,0.74627,0.83212,0.46474,1.56748,0.87174,1.12202,0.0013862,0.0013862,0.0013862
33,264.102,1.5771,0.87748,1.09763,0.81366,0.7337,0.822,0.4594,1.56866,0.88948,1.12125,0.0013664,0.0013664,0.0013664
34,271.831,1.59329,0.88081,1.11889,0.81426,0.74265,0.8262,0.4643,1.56657,0.86501,1.11822,0.0013466,0.0013466,0.0013466
35,279.543,1.61547,0.87865,1.11417,0.82585,0.74611,0.83553,0.47226,1.56948,0.86611,1.12214,0.0013268,0.0013268,0.0013268
36,287.293,1.57544,0.85613,1.09531,0.81628,0.74673,0.82173,0.46065,1.58418,0.8631,1.12757,0.001307,0.001307,0.001307
37,295.096,1.5946,0.87426,1.11111,0.81136,0.74088,0.82584,0.46095,1.5758,0.88709,1.12764,0.0012872,0.0012872,0.0012872
38,302.79,1.59069,0.88145,1.10264,0.82338,0.73165,0.82368,0.45816,1.59215,0.84796,1.14052,0.0012674,0.0012674,0.0012674
39,310.521,1.58632,0.86704,1.10372,0.80867,0.75375,0.83253,0.46737,1.56329,0.86497,1.11649,0.0012476,0.0012476,0.0012476
40,318.245,1.57492,0.85829,1.10259,0.82335,0.74443,0.83391,0.46377,1.58066,0.86126,1.12502,0.0012278,0.0012278,0.0012278
41,325.96,1.58007,0.86675,1.09651,0.81894,0.75927,0.8385,0.47668,1.55572,0.84915,1.11836,0.001208,0.001208,0.001208
